Championships stolen by the Houston Astros,Games tied by the 1995 Yankees,Grand slams hit by Don Mattingly,Runs batted in by Mariano Rivera,Times Derek Jeter pinch-ran
Home runs hit by Derek Jeter in the 2003 postseason
"Yankee grand slams against the Oakland A's on August 25, 2011 (MLB record)"
Runs batted in by Derek Jeter in the 2004 ALDS
Championships for The Core Four,Hits by Derek Jeter in Game 1 of the 2006 ALDS,Most consecutive World Series won by a single team,"Games tied by the 1910 Highlanders and 1938 Yankees (tied, team record)",Managerial losses by Art Fletcher (team low)
Managerial wins by Art Fletcher (team low),Managerial losses by Johnny Neun
Mickey Mantle's retired number
Errors by Derek Jeter in 2009 (a personal low),Managerial wins by Johnny Neun,Times Derek Jeter pinch-hit
Shutouts by Ron Guidry in 1978 (single-season team record),Number of times Buck Showalter ejected (as manager)
Hits by Mickey Mantle in All-Star Games,Managerial wins by Roger Peckinpaugh,Managerial losses by Roger Peckinpaugh,Triples hit by Jorge Posada
Games managed by Art Fletcher,Number of times Lou Piniella ejected (as manager),Balks by Andy Pettitte
Millions of dollars paid to Derek Jeter in 2014,Number of times Casey Stengel ejected (as manager),Double plays turned by Mariano Rivera
"Innings played against the Boston Red Sox on July 1, 2004 (the game where Derek Jeter dove into the stands)"
Seasons that Don Mattingly played (1982-1995),Games managed by Johnny Neun,Number of times Billy Martin ejected (as manager),Number of times Miller Huggins ejected (as manager)
Years without the Yankees in the World Series (1981-1996)
Most franchise records held by a single player (Babe Ruth)
Postseason games played by Derek Jeter in 2003
Home runs hit by Derek Jeter in both 2002 and 2009
Home runs hit by Derek Jeter in 1998
Home runs hit by Derek Jeter in postseason games,Games managed by Roger Peckinpaugh,Bases stolen by Jorge Posada,Triples hit by Don Mattingly
Home runs hit by Derek Jeter in 2001,Managerial ties by Joe McCarthy (team record),Times Jorge Posada caught stealing
Losses by Joe Lake in 1908 (single-season team record),Number of times Joe Torre ejected (as manager)
Triples by Earle Combs in 1927 (single-season team record),Number of times Clark Griffith ejected (as manager)
"Runs allowed to the Cleveland Indians on July 29, 1928 (single-game team record)",Number of times Ralph Houk ejected (as manager)
"Yankee runs scored against the Philadelphia Athletics on May 24, 1936 (single-game team record)","Batters used by the 1923 Yankees (team low, tied)","Batters used by the 1927 Yankees (team low, tied)"
"Strikeouts thrown to the Chicago Cubs on May 7, 2017 (single-game team record)",Complete games by Andy Pettitte
World Championships won,Games lost by the 2020 Yankees (team low),Managerial wins by Kid Elberfeld
"Hits allowed to the Detroit Tigers on September 29, 1928 (single-game team record)"
Managerial wins by Clyde King,At-bats by Derek Jeter in the 2009 World Baseball Classic
"Yankee hits against the Boston Red Sox on September 28, 1923 (single-game team record)"
"Intentional walks by Andy Pettitte, as a Yankee"
Doubles by Derek Jeter in postseason games (MLB record)
Games won by the 2020 Yankees,"Pitchers used by the 2014 Yankees (tied, team record)","Pitchers used by the 2015 Yankees (tied, team record)","Pitchers used by the 2019 Yankees (tied, team record)",Managerial losses by Clyde King
Number of times Joe Girardi ejected (as manager)
Stolen base attempts by Derek Jeter in 2009 (30 were successful)
Games missed by Derek Jeter after dislocating his shoulder on Opening Day 2003,Managerial wins by Bucky Dent
Casey Stengel's retired number
Times Mickey Mantle was caught stealing,Doubles hit by Tony Kubek in 1961
Intentional walks to Derek Jeter,Batters used by the 1999 Yankees
Pennants won
Games won by Jack Chesbro in 1904 (AL record),Intentional walks allowed by Mariano Rivera
Intentional walks by Andy Pettitte,Postseason saves by Mariano Rivera
Batters used by the 2004 Yankees,Batters used by the 2010 Yankees,Batters used by the 2020 Yankees,Games lost by the 1994 Yankees
Doubles hit by Derek Jeter in 2004 (personal record),"Games lost by the 1927 Yankees (team record, full 154-game season)"
Shutouts pitched by Whitey Ford (team record)
Batters used by the 2000 Yankees
Batters used by the 2001 Yankees
Complete games pitched by Jack Chesbro in 1904 (team record),"Games lost by the 1998 Yankees (team record, full 162-game season)",Games lost by the 1981 Yankees,Managerial losses by Bucky Dent
Batters used by the 2003 Yankees,Batters used by the 2006 Yankees,Batters used by the 2007 Yankees
Bases stolen by Derek Jeter in 1994,Games won by the 1912 Highlanders,Managerial wins by Harry Wolverton
Games started by Jack Chesbro in 1904 (team record),Games won by the 1908 Highlanders,Plate appearances by Derek Jeter in 1995
Home runs hit by Mickey Mantle in 1956 (led MLB)
Doubles by Don Mattingly in 1986 (team record),Saves by Mariano Rivera in 2004 (single-season team record)
Batters used by the 2019 Yankees
Games finished behind first pace by the 1912 Highlanders (team record),Hit batsmen by Andy Pettitte
Consecutive games in which Joe DiMaggio got a hit (team and MLB record),Managerial wins by Dallas Green
Managerial wins by Bill Dickey,Games won by the 1913 Yankees
Sacrifice flies by Derek Jeter,Games lost by the 2002 Yankees,Batters used by the 2014 Yankees (team record)
Games lost by the 2009 Yankees,Games lost by the 2019 Yankees,Games won by the 1981 Yankees,Games lost by the 1980 Yankees,Games lost by the 1904 Highlanders,Games lost by the 1919 Yankees,Games lost by the 1920 Yankees
Home runs hit by Babe Ruth in 1927,Games Mariano Rivera lost,Games won by the 1918 Yankees,Managerial losses by Dick Howser
Home runs hit by Roger Maris in 1961 (team record),Games lost by the 1906 Highlanders
Games managed by Clyde King,Games lost by the 2018 Yankees,Games lost by the 1977 Yankees,Games lost by the 1976 Yankees,Games lost by the 1903 Highlanders
Games lost by the 1978 Yankees,Games lost by the 1910 Highlanders,Games lost by the 1918 Yankees
Games lost by the 1999 Yankees,Games lost by the 1985 Yankees
Games lost by the 2006 Yankees,Games lost by the 1995 Yankees,Managerial losses by Dallas Green
Runs batted in by Derek Jeter in 2009,Postseason walks to Derek Jeter,Triples hit by Derek Jeter
Games lost by the 2005 Yankees,Games lost by the 2012 Yankees,Games won by the 1990 Yankees
Runs batted in by Derek Jeter in 1994,Managerial losses by Bob Shawkey
Wild pitches by Andy Pettitte,Games won by the 1915 Yankees,Games won by the 1925 Yankees
Runs batted in by Derek Jeter in 1997,Games won by the 1994 Yankees,Games lost by the 1996 Yankees,Games won by the 1907 Highlanders,Games won by the 1914 Yankees,Games won by the 1966 Yankees
